Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,win_margin,Tm_poss,Opp_poss,Tm_off_rating,Tm_def_rating,Tm_tov_rate,Opp_tov_rate
2025,CON,6,2025-05-30,0,IND,W,85,83,31,60,0.517,10,20,0.5,13,15,0.867,6,25,19,9,2,16,21,29,59,0.492,7,17,0.412,18,21,0.857,5,25,20,8,2,14,19,2,76.6,77.24,110.96605744125327,107.45727602278612,0.20887728459530028,1.0
2025,CON,7,2025-06-01,0,NYL,L,52,100,19,61,0.311,6,28,0.214,8,9,0.889,10,26,11,8,0,19,17,33,53,0.623,19,32,0.594,15,17,0.882,2,32,29,11,3,19,18,-48,73.96,77.48,70.30827474310438,129.06556530717603,0.2568956192536506,1.0
2025,CON,8,2025-06-06,1,ATL,W,84,76,33,66,0.5,3,15,0.2,15,19,0.789,5,27,17,9,3,11,15,28,68,0.412,8,27,0.296,12,17,0.706,7,29,19,5,6,12,17,8,80.36,80.48,104.52961672473869,94.43339960238568,0.1368840219014435,1.0
2025,CON,9,2025-06-08,0,WAS,L,67,104,26,66,0.394,7,24,0.292,8,9,0.889,6,22,17,8,4,17,29,36,63,0.571,6,18,0.333,26,37,0.703,12,42,24,8,0,15,16,-37,80.96,82.28,82.75691699604744,126.39766650461837,0.2099802371541502,1.0
2025,CON,10,2025-06-15,1,CHI,L,66,78,25,64,0.391,8,22,0.364,8,12,0.667,10,32,15,9,2,12,17,27,63,0.429,7,20,0.35,17,18,0.944,7,38,20,7,5,12,14,-12,71.28,75.92,92.5925925925926,102.73972602739725,0.16835016835016836,1.0
2025,CON,11,2025-06-17,0,IND,L,71,88,25,64,0.391,3,21,0.143,18,20,0.9,10,27,15,8,4,12,22,31,68,0.456,11,26,0.423,15,16,0.938,11,38,19,6,1,15,21,-17,74.8,79.04,94.91978609625669,111.33603238866397,0.16042780748663102,1.0
2025,CON,12,2025-06-18,1,PHO,L,75,83,25,68,0.368,8,24,0.333,17,23,0.739,11,37,20,5,5,13,18,26,64,0.406,8,23,0.348,23,27,0.852,12,41,18,9,5,12,20,-8,80.12,75.88,93.60958562156765,109.38323668950976,0.16225661507738393,1.0
2025,IND,1,2025-05-17,1,CHI,W,93,58,35,75,0.467,7,21,0.333,16,25,0.64,9,46,19,13,10,10,15,23,79,0.291,6,27,0.222,6,12,0.5,13,42,17,5,7,17,22,35,87.0,88.28,106.89655172413792,65.70004531037608,0.11494252873563218,1.0
2025,IND,2,2025-05-20,1,ATL,L,90,91,33,68,0.485,8,17,0.471,16,26,0.615,8,32,18,3,3,14,19,29,68,0.426,8,30,0.267,25,32,0.781,12,37,19,7,5,11,22,-1,85.44,81.08,105.3370786516854,112.23482979773063,0.16385767790262173,1.0
2025,IND,3,2025-05-22,0,ATL,W,81,76,33,74,0.446,7,23,0.304,8,15,0.533,7,41,21,4,3,13,25,24,67,0.358,10,29,0.345,18,23,0.783,6,37,14,4,3,12,21,5,86.6,83.12,93.53348729792148,91.43407122232917,0.15011547344110857,1.0
2025,IND,4,2025-05-24,1,NYL,L,88,90,35,78,0.449,7,23,0.304,11,15,0.733,12,39,20,6,1,16,25,29,63,0.46,7,27,0.259,25,32,0.781,7,34,19,7,5,12,17,-2,88.6,82.08,99.32279909706547,109.64912280701755,0.18058690744920994,1.0
2025,IND,5,2025-05-28,0,WAS,L,77,83,25,63,0.397,5,21,0.238,22,27,0.815,6,33,15,8,6,16,26,30,69,0.435,4,11,0.364,19,25,0.76,12,41,20,7,5,17,25,-6,84.88,85.0,90.7163053722903,97.6470588235294,0.18850141376060323,1.0
2025,IND,6,2025-05-30,1,CON,L,83,85,29,59,0.492,7,17,0.412,18,21,0.857,5,25,20,8,2,14,19,31,60,0.517,10,20,0.5,13,15,0.867,6,25,19,9,2,16,21,-2,77.24,76.6,107.45727602278612,110.96605744125327,0.18125323666494045,1.0
2025,IND,7,2025-06-03,1,WAS,W,85,76,30,59,0.508,11,28,0.393,14,23,0.609,1,19,21,8,2,8,23,30,55,0.545,1,10,0.1,15,23,0.652,7,33,12,3,5,15,21,9,76.12,73.12,111.66579085654229,103.93873085339168,0.10509721492380451,1.0
2025,IND,8,2025-06-07,0,CHI,W,79,52,27,59,0.458,11,27,0.407,14,18,0.778,9,32,20,9,4,14,18,18,56,0.321,3,15,0.2,13,19,0.684,11,30,11,5,4,19,22,27,71.92,72.36,109.84427141268075,71.86290768380321,0.1946607341490545,1.0
2025,IND,9,2025-06-10,0,ATL,L,58,77,21,58,0.362,5,24,0.208,11,18,0.611,5,27,13,5,3,11,16,31,66,0.47,5,22,0.227,10,15,0.667,10,44,21,7,4,12,22,-19,71.92,74.6,80.64516129032258,103.2171581769437,0.15294771968854282,1.0
2025,IND,10,2025-06-14,1,NYL,W,102,88,37,77,0.481,17,35,0.486,11,16,0.688,10,38,25,5,6,12,22,30,71,0.423,6,29,0.207,22,30,0.733,10,34,17,10,4,11,18,14,86.04,85.2,118.54951185495118,103.28638497652582,0.1394700139470014,1.0
2025,IND,11,2025-06-17,1,CON,W,88,71,31,68,0.456,11,26,0.423,15,16,0.938,11,38,19,6,1,15,21,25,64,0.391,3,21,0.143,18,20,0.9,10,27,15,8,4,12,22,17,79.04,74.8,111.33603238866397,94.91978609625669,0.18977732793522264,1.0
