season,position,team,gp,w,l,win_percent,ppg,fgm,fga,fg_percent,3pt_m,3pt_a,threepoint_fg_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,pfd,3pt_pct,efg_pct,possessions,off_rating
2022,11,Los Angeles Sparks,36,13,23,0.361,79.4,29.8,66.9,44.6,5.4,16.9,32.0,14.4,18.3,78.6,6.9,23.4,30.4,18.9,14.7,8.6,3.9,18.3,18.5,0.31952662721893493,0.4857997010463378,82.752,95.9493426140758
2022,12,Indiana Fever,36,5,31,0.139,78.0,28.4,69.4,40.9,6.8,20.1,33.8,14.4,19.4,74.6,9.8,23.5,33.3,18.0,16.5,7.2,3.6,20.0,18.0,0.33830845771144274,0.4582132564841498,84.63600000000001,92.159364809301
2021,1,Connecticut Sun,32,26,6,0.813,79.7,29.2,65.6,44.4,7.0,19.5,35.7,14.4,17.7,81.6,9.7,26.9,36.6,18.0,15.1,7.8,3.6,17.8,18.0,0.358974358974359,0.49847560975609767,78.78799999999998,101.15753668071284
2021,2,Las Vegas Aces,32,24,8,0.75,89.3,33.1,70.3,47.2,5.1,13.5,37.5,17.9,21.9,81.9,7.4,31.3,38.7,20.9,11.8,6.8,4.6,14.2,18.8,0.37777777777777777,0.5071123755334281,84.33599999999998,105.88597988996398
2021,3,Minnesota Lynx,32,22,10,0.688,82.7,30.7,67.1,45.8,6.8,19.8,34.0,14.6,17.4,83.7,7.3,27.7,34.9,20.4,14.6,6.8,4.1,17.5,17.5,0.3434343434343434,0.5081967213114754,82.056,100.78482987228234
2021,4,Seattle Storm,32,21,11,0.656,84.8,31.0,68.8,45.0,8.6,22.7,37.9,14.2,16.9,83.9,7.2,28.4,35.6,21.3,12.9,7.6,4.2,15.5,17.1,0.3788546255506608,0.5130813953488372,81.93599999999999,103.49541105252882
2021,5,Phoenix Mercury,32,19,13,0.594,82.1,29.5,65.7,45.0,7.5,21.8,34.6,15.5,19.4,79.8,8.0,28.2,36.2,19.7,13.7,4.8,5.2,16.3,18.2,0.3440366972477064,0.5060882800608828,79.936,102.70716573258605
2021,6,Chicago Sky,32,16,16,0.5,83.3,30.8,69.9,44.1,7.3,21.2,34.3,14.3,17.0,84.5,8.3,26.7,35.0,21.8,14.5,7.0,4.5,19.0,16.6,0.3443396226415094,0.4928469241773963,83.58000000000001,99.6649916247906
2021,7,Dallas WIngs,32,14,18,0.438,81.1,29.7,70.7,42.0,8.2,23.1,35.4,13.6,16.4,82.9,10.0,26.1,36.1,17.4,13.8,6.8,3.9,18.4,15.8,0.35497835497835495,0.47807637906647804,81.716,99.24616966077635
2021,8,New York Liberty,32,12,20,0.375,78.5,28.3,66.1,42.7,10.0,27.7,36.2,11.9,14.7,81.3,6.2,27.1,33.3,19.2,16.9,6.1,3.8,17.9,17.2,0.36101083032490977,0.5037821482602118,83.268,94.27391074602488
2021,9,Washington Mystics,32,12,20,0.375,79.8,28.4,69.2,41.0,9.0,27.4,32.8,14.0,17.4,80.8,8.1,25.2,33.3,18.6,12.9,6.9,3.1,17.2,17.4,0.3284671532846716,0.47543352601156064,81.65600000000002,97.72705006368176
2021,10,Los Angeles Sparks,32,12,20,0.375,72.8,27.0,65.8,41.1,6.8,20.2,33.5,11.9,15.6,76.6,6.1,23.2,29.2,15.4,13.9,8.3,4.2,19.3,18.5,0.33663366336633666,0.46200607902735563,80.46400000000001,90.47524358719426
2021,11,Atlanta Dream,32,8,24,0.25,78.7,30.6,73.5,41.7,6.1,19.8,31.0,11.3,15.7,72.0,9.7,24.4,34.2,17.4,11.9,8.9,4.7,18.4,16.3,0.30808080808080807,0.45782312925170066,82.608,95.26922331977532
2021,12,Indiana Fever,32,6,26,0.188,75.3,28.4,68.2,41.6,4.9,17.3,28.4,13.6,17.0,80.0,9.6,24.8,34.3,16.7,15.0,6.3,3.8,17.8,18.0,0.2832369942196532,0.4523460410557184,81.08000000000001,92.87123828317709
2020,1,Las Vegas Aces,22,18,4,0.818,88.7,32.7,68.7,47.6,4.2,11.5,36.6,19.0,23.4,81.5,8.1,29.3,37.4,20.8,12.5,7.8,3.0,15.0,20.6,0.3652173913043478,0.5065502183406114,83.39600000000002,106.36001726701518
2020,2,Seattle Storm,22,18,4,0.818,87.5,31.9,67.8,47.0,8.4,21.4,39.4,15.4,18.9,81.7,7.6,26.8,34.4,21.9,14.0,10.0,4.0,16.5,16.5,0.39252336448598135,0.532448377581121,82.516,106.04004071937563
2020,3,Los Angeles Sparks,22,15,7,0.682,84.9,32.2,67.0,48.1,7.2,18.1,39.8,13.3,16.8,79.2,6.4,25.0,31.4,20.0,14.4,9.0,3.0,18.3,18.3,0.39779005524861877,0.5343283582089553,82.392,103.04398485289836
2020,4,Minnesota Lynx,22,14,8,0.636,84.4,30.6,67.0,45.6,8.3,21.5,38.5,15.0,18.3,81.8,9.9,24.5,34.4,19.8,14.9,8.4,3.0,16.9,17.5,0.386046511627907,0.5186567164179104,80.05199999999999,105.4314695447959
2020,5,Phoenix Mercury,22,13,9,0.591,86.1,30.2,67.0,45.0,8.4,24.5,34.3,17.4,21.0,82.5,7.5,26.5,34.0,20.4,15.2,6.8,5.6,19.7,20.1,0.34285714285714286,0.5134328358208955,83.94,102.57326661901358
2020,6,Chicago Sky,22,12,10,0.545,86.7,33.5,68.2,49.1,7.6,21.6,35.1,12.1,14.9,81.7,7.3,26.3,33.6,21.8,15.6,7.5,4.0,18.0,16.3,0.3518518518518518,0.5469208211143695,83.056,104.38740127143133
2020,7,Connecticut Sun,22,10,12,0.455,80.4,29.7,69.5,42.7,5.9,19.0,31.2,15.1,20.0,75.5,10.0,25.5,35.5,18.3,14.0,9.2,3.1,18.8,18.1,0.3105263157894737,0.4697841726618705,82.3,97.69137302551641
2020,8,Washington Mystics,22,9,13,0.409,80.0,29.6,68.5,43.3,8.3,24.4,34.1,12.4,15.0,82.5,7.3,24.2,31.5,19.7,13.7,7.9,2.2,17.0,16.7,0.34016393442622955,0.4927007299270073,81.5,98.15950920245399
2020,9,Dallas WIngs,22,8,14,0.364,83.4,29.5,71.0,41.5,8.9,27.6,32.3,15.6,19.1,81.5,9.0,23.7,32.7,15.6,12.4,8.2,3.2,19.7,17.6,0.322463768115942,0.47816901408450707,82.804,100.71977199169122
2020,10,Atlanta Dream,22,7,15,0.318,81.0,31.4,71.0,44.2,5.9,16.9,35.0,12.2,16.1,75.8,9.0,25.8,34.9,16.9,14.9,6.9,3.3,18.5,16.7,0.349112426035503,0.4838028169014085,83.98400000000001,96.44694227471898
2020,11,Indiana Fever,22,6,16,0.273,81.7,29.5,66.7,44.2,6.9,20.0,34.5,15.9,19.4,81.9,9.0,24.7,33.7,19.2,15.9,5.1,3.2,17.7,18.6,0.34500000000000003,0.49400299850074963,82.13600000000001,99.46917307879613
2020,12,New York Liberty,22,2,20,0.091,71.9,24.5,66.0,37.2,7.6,27.4,27.7,15.2,18.5,82.3,8.0,27.8,35.8,14.9,17.8,6.3,4.3,19.1,18.2,0.2773722627737226,0.4287878787878788,83.94,85.65642125327616
2019,1,Washington Mystics,34,26,8,0.765,89.3,32.8,69.9,46.9,9.3,25.4,36.6,14.4,16.4,87.5,8.4,24.9,33.3,21.9,11.8,7.6,4.6,15.5,17.1,0.36614173228346464,0.5357653791130185,80.51599999999999,110.9096328680014
2019,2,Connecticut Sun,34,23,11,0.676,80.8,30.2,71.3,42.3,7.5,21.0,35.6,13.0,18.4,70.3,10.9,25.9,36.8,19.3,14.1,8.9,3.9,17.4,17.5,0.35714285714285715,0.4761570827489482,82.59599999999999,97.82556055983342
2019,3,Los Angeles Sparks,34,22,12,0.647,80.1,30.3,70.2,43.2,7.1,20.9,34.1,12.3,14.7,83.8,8.6,25.6,34.2,18.6,14.4,8.2,3.8,18.1,16.6,0.3397129186602871,0.4821937321937322,82.46800000000002,97.12858320803218
2019,4,Las Vegas Aces,34,21,13,0.618,82.2,30.0,70.3,42.7,5.5,15.0,36.7,16.7,21.5,77.7,9.2,29.6,38.8,20.9,14.6,7.1,4.5,16.9,19.2,0.36666666666666664,0.46586059743954483,85.15999999999998,96.52418976045094
2019,5,Chicago Sky,34,20,14,0.588,84.6,31.4,70.0,44.8,7.3,21.6,33.6,14.6,17.9,81.9,8.2,28.2,36.4,21.6,15.3,6.8,4.5,17.7,17.7,0.3379629629629629,0.5007142857142857,84.976,99.5575221238938
2019,6,Seattle Storm,34,18,16,0.529,74.8,27.8,66.2,42.0,7.1,21.1,33.6,12.1,15.2,79.2,9.1,22.9,32.0,17.7,15.7,9.5,3.9,15.6,16.0,0.33649289099526064,0.4735649546827795,79.488,94.10225442834138
2019,7,Minnesota Lynx,34,18,16,0.529,78.4,30.3,67.1,45.1,5.8,17.5,33.2,12.1,15.4,78.1,9.0,25.0,34.0,20.3,16.2,8.4,3.9,16.5,17.1,0.3314285714285714,0.4947839046199703,81.076,96.6993931619715
2019,8,Phoenix Mercury,34,15,19,0.441,76.5,27.2,64.2,42.4,6.6,20.2,32.5,15.5,18.4,84.6,6.6,25.8,32.5,17.9,13.2,5.9,4.4,16.7,19.4,0.32673267326732675,0.4750778816199377,78.89600000000002,96.96309065098355
