Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,win_margin,Tm_poss,Opp_poss,Tm_off_rating,Tm_def_rating,Tm_tov_rate,Opp_tov_rate
2015,ATL,18,2015-07-29,0,SAS,L,85,102,29,66,0.439,3,13,0.231,24,31,0.774,9,29,13,9,5,13,27,35,65,0.538,8,14,0.571,24,32,0.75,7,32,27,6,3,17,22,-17,83.64,89.08,101.62601626016261,114.50381679389314,0.15542802486848398,1.0
2015,ATL,19,2015-07-31,0,MIN,L,70,86,27,64,0.422,3,13,0.231,13,15,0.867,6,37,20,7,3,19,22,33,77,0.429,3,15,0.2,17,23,0.739,13,42,23,9,6,15,14,-16,83.6,89.12,83.73205741626795,96.49910233393177,0.2272727272727273,1.0
2015,ATL,20,2015-08-02,1,PHO,L,68,71,26,71,0.366,7,17,0.412,9,11,0.818,6,33,16,8,4,12,27,21,57,0.368,2,9,0.222,27,31,0.871,6,39,17,9,9,14,19,-3,81.84,78.64,83.08895405669598,90.28484231943031,0.14662756598240467,1.0
2015,ATL,21,2015-08-07,0,IND,L,77,106,24,61,0.393,7,15,0.467,22,26,0.846,10,32,12,6,8,26,30,31,68,0.456,4,14,0.286,40,44,0.909,10,33,16,14,5,10,23,-29,88.44,87.36,87.06467661691542,121.33699633699632,0.2939846223428313,1.0
2015,ATL,22,2015-08-09,0,TUL,W,98,90,34,67,0.507,6,18,0.333,24,30,0.8,9,31,20,5,4,12,26,26,64,0.406,8,22,0.364,30,38,0.789,9,26,17,9,4,9,23,8,83.2,80.72,117.78846153846155,111.49653121902874,0.14423076923076922,1.0
2015,ATL,23,2015-08-14,1,MIN,L,82,84,30,78,0.385,5,21,0.238,17,19,0.895,10,35,19,10,2,6,22,31,67,0.463,5,18,0.278,17,20,0.85,7,36,23,3,7,14,18,-2,82.36,82.8,99.56289460903352,101.44927536231884,0.07285089849441477,1.0
2015,ATL,24,2015-08-16,1,CON,W,90,77,27,59,0.458,5,11,0.455,31,36,0.861,10,29,16,11,2,12,15,27,68,0.397,11,28,0.393,12,14,0.857,16,30,17,5,5,14,27,13,76.84,72.16,117.12649661634565,106.70731707317074,0.15616866215512754,1.0
2015,ATL,25,2015-08-21,0,NYL,L,67,78,24,67,0.358,4,14,0.286,15,20,0.75,10,28,9,12,1,13,12,30,64,0.469,5,13,0.385,13,15,0.867,13,38,21,6,3,16,14,-11,78.8,73.6,85.0253807106599,105.97826086956523,0.1649746192893401,1.0
2015,ATL,26,2015-08-23,0,CON,W,102,92,40,67,0.597,11,14,0.786,11,11,1.0,8,30,25,8,1,15,19,34,70,0.486,7,23,0.304,17,23,0.739,11,27,15,5,1,12,16,10,78.84,81.12,129.37595129375953,113.41222879684419,0.1902587519025875,1.0
2015,ATL,27,2015-08-25,1,CON,W,71,57,26,66,0.394,6,15,0.4,13,16,0.813,13,44,18,4,4,9,18,19,63,0.302,7,25,0.28,12,14,0.857,10,30,14,4,6,12,18,14,69.04,71.16,102.83893395133255,80.10118043844857,0.1303592120509849,1.0
2015,ATL,28,2015-08-28,0,IND,W,90,84,28,63,0.444,3,14,0.214,31,36,0.861,9,30,9,11,2,14,28,27,59,0.458,7,17,0.412,23,25,0.92,5,24,10,9,1,18,31,6,83.84,83.0,107.34732824427479,101.20481927710843,0.16698473282442747,1.0
2015,ATL,29,2015-08-29,1,CHI,L,96,98,33,74,0.446,2,14,0.143,28,37,0.757,15,33,11,7,5,6,20,37,70,0.529,5,10,0.5,19,26,0.731,11,31,21,2,2,10,27,-2,81.28,80.44,118.11023622047243,121.82993535554452,0.07381889763779527,1.0
2015,ATL,30,2015-09-01,0,NYL,L,75,80,30,70,0.429,4,18,0.222,11,13,0.846,7,32,14,9,1,15,26,26,70,0.371,8,21,0.381,20,26,0.769,12,34,18,10,6,14,16,-5,83.72,83.44,89.5843287147635,95.87727708533077,0.179168657429527,1.0
2015,ATL,31,2015-09-06,1,WAS,W,73,67,22,60,0.367,4,14,0.286,25,31,0.806,9,36,12,12,2,15,13,29,68,0.426,4,18,0.222,5,6,0.833,8,35,16,9,6,15,24,6,79.64,77.64,91.66248116524359,86.29572385368367,0.18834756403817177,1.0
2015,ATL,32,2015-09-09,1,LAS,W,90,60,32,80,0.4,7,22,0.318,19,21,0.905,19,54,23,12,3,16,16,25,67,0.373,3,15,0.2,7,17,0.412,8,28,17,10,3,14,17,30,86.24,80.48,104.35992578849722,74.55268389662028,0.1855287569573284,1.0
2015,ATL,33,2015-09-11,1,IND,L,67,75,26,71,0.366,3,12,0.25,12,16,0.75,12,34,13,10,3,18,18,29,62,0.468,4,16,0.25,13,20,0.65,10,34,20,12,4,19,20,-8,84.04,79.8,79.72394098048548,93.98496240601504,0.21418372203712516,1.0
